state?symbol?next_state?output?is_final
5?letra?5?letra?0
5?dígito?5?dígito?0
8?dígito?8?dígito?0
0?inválido?20?<ERRO_CARAC_INVALIDO>?1
0?/?22?simb_div?1
12?outro_=?14?simb_maior_que?1
8?nao_digito?10?numero?1
29?outro_}?29?outro?0
3?outro_=?4?simb_menor_que?1
12?=?13?simb_maior_igual?1
29?quebra_linha?1?<ERRO_SIMB_INCOMPLETO>?1
0?.?17?simb_ponto?1
0?*?21?simb_mult?1
0?+?18?simb_mais?1
0?tab?0?!tab?1
0?letra?5?letra?0
23?outro_=?25?<ERRO_SIMB_INCOMPLETO>?1
0?<?3?<?0
0?dígito?8?dígito?0
0? ?0?!espaco?1
0?{?29?{?0
5?outro?6?identificador?1
0?-?19?simb_menos?1
0?>?12?>?0
23?=?24?simb_atribuicao?1
0?;?16?simb_ponto_virgula?1
0?=?2?simb_igual?1
3?=?7?simb_menor_igual?1
0?:?23?:?0
0?}?1?<ERRO_SIMB_INCOMPLETO>?1
29?}?30?comentario?1
0?quebra_linha?0?!quebra_linha?1
3?>?11?simb_diferente?1
0?virgula?15?simb_virgula?1
